number,plot,replicate,treatment,beta_g,micro_bmass_C,NH4,urease,soil_resp,qco2
1,1,a,alto,223.0458873,116.5026905,35.8318649,525.3327827,19.00180884,0.163101889
2,1,b,alto,202.0038224,210.8143923,26.87389868,576.1714391,14.65552033,0.069518595
3,1,c,alto,245.4907564,47.15585091,22.51596916,589.4863253,15.42273689,0.327058819
4,1,d,alto,159.9196928,23.57792546,20.5791116,444.2330213,16.08133103,0.682050296
5,2,a,controle,211.8234527,180.3017829,43.33718796,594.3281021,20.21045399,0.112092369
6,2,b,controle,214.6290614,117.8896273,42.12665198,568.9087739,17.72531917,0.150355206
7,2,c,controle,223.0458873,156.7238574,45.03193833,617.3265419,19.34268379,0.123418885
8,2,d,controle,216.0318657,165.0454782,36.0739721,646.3772026,15.55459988,0.094244326
9,3,a,alto,196.3926052,199.718898,41.1582232,573.7505507,19.96670761,0.099974053
10,3,b,alto,204.8094311,173.3670989,45.27404552,584.6445485,19.83054973,0.114384735
11,3,c,alto,202.0038224,51.31666129,36.0739721,606.4325441,12.85194278,0.250443861
12,3,d,alto,217.43467,22.19098867,46.72668869,255.4037261,61.06336431,2.751718963
13,4,a,alto,185.1701706,26.35179904,46.72668869,479.3359031,22.23188188,0.843657082
14,4,b,alto,169.739323,127.5981848,73.60058737,604.0116557,20.0471223,0.157111344
15,4,c,alto,189.3785835,141.4675527,50.11618943,654.850312,20.32205017,0.14365167
16,4,d,alto,197.7954095,158.1107942,41.1582232,610.0638767,16.97670138,0.107372185
17,5,a,baixo,194.9898008,36.06035658,46.72668869,778.3156204,19.81903347,0.549607252
18,5,b,baixo,192.1841922,135.9198056,36.3160793,858.2049376,60.6133009,0.445948996
19,5,c,baixo,172.5449317,181.6887197,39.70558003,705.6889684,16.84936456,0.092737538
20,5,d,baixo,237.0739305,36.06035658,32.68447137,738.3709618,19.7145571,0.546709988
21,6,a,baixo,137.4748236,102.6333226,50.11618943,675.4278634,15.85404746,0.15447271
22,6,b,baixo,180.9617576,165.0454782,49.87408223,760.1589574,18.73030774,0.113485737
23,6,c,baixo,189.3785835,81.8292707,48.66354626,645.1667584,19.57892611,0.239265558
24,6,d,baixo,197.7954095,205.2666452,44.78983113,666.954754,20.48573184,0.099800588
25,7,a,alto,187.9757792,77.66846033,30.26339941,625.7996512,16.19263564,0.208484056
26,7,b,alto,185.1701706,110.9549433,25.9054699,604.0116557,16.15705821,0.145618192
27,7,c,alto,211.8234527,80.44233391,42.61086637,825.5229442,17.94577045,0.223088635
28,7,d,alto,214.6290614,91.53782824,27.84232746,587.0654369,16.7448721,0.18292844
29,8,a,controle,220.2402786,83.2162075,54.47411894,716.5829662,19.2824222,0.231714744
30,8,b,controle,165.5309101,124.8243112,37.52661527,671.7965308,18.28555343,0.146490321
31,8,c,controle,231.4627132,251.0355593,44.30561674,669.3756424,25.43899017,0.101336202
32,8,d,controle,207.6150397,191.3972772,85.94805433,704.4785242,29.87232512,0.156074974
33,9,a,controle,252.5047781,31.89954621,39.22136564,620.9578744,24.40462653,0.765046198
34,9,b,controle,185.1701706,119.2765641,55.44254772,617.3265419,22.93219627,0.192260705
35,9,c,controle,206.2122354,221.9098867,52.05304699,566.4878855,18.3815594,0.082833441
36,9,d,controle,161.3224971,188.6234037,34.37922173,762.5798458,17.17551904,0.0910572
37,10,a,alto,232.8655175,16.6432415,73.84269457,599.1698789,24.94268395,1.498667429
38,10,b,alto,211.8234527,141.4675527,47.69511747,613.6952093,28.28721187,0.199955476
39,10,c,alto,197.7954095,98.4725122,74.08480176,625.7996512,25.50560166,0.259012399
40,10,d,alto,173.947736,59.63828204,86.19016153,651.2189794,24.97810777,0.418826749
41,11,a,controle,168.3365187,15.25630471,48.66354626,590.6967695,17.8803588,1.171998013
42,11,b,controle,192.1841922,26.35179904,66.57947871,492.6507893,24.65313731,0.93553906
43,11,c,controle,179.5589533,61.02521883,52.05304699,576.1714391,21.64536716,0.354695445
44,11,d,controle,151.5028668,54.09053487,29.05286344,604.0116557,17.45578121,0.322714154
45,12,a,baixo,178.156149,165.0454782,41.1582232,549.5416667,21.20419653,0.128474871
46,12,b,baixo,179.5589533,12.48243112,23.24229075,531.3850037,17.20369601,1.378232801
47,12,c,baixo,216.0318657,187.2364669,26.14757709,532.5954479,17.45990191,0.093250541
48,12,d,baixo,209.0178441,23.57792546,26.38968429,550.7521109,17.5838891,0.745777619
49,13,a,baixo,173.947736,98.4725122,26.38968429,588.2758811,16.84608278,0.171073962
50,13,b,baixo,244.0879521,231.6184442,26.87389868,635.4832048,14.34563194,0.061936483
51,13,c,baixo,150.1000625,138.6936792,22.27386197,604.0116557,13.96076931,0.100659016
52,13,d,baixo,169.739323,77.66846033,22.75807636,526.5432269,15.08893195,0.194273607
53,14,a,baixo,187.9757792,128.9851216,28.56864905,507.1761197,17.77274223,0.137789088
54,14,b,baixo,140.2804323,18.03017829,38.49504405,601.5907673,23.05664916,1.278780985
55,14,c,baixo,207.6150397,19.41711508,53.02147577,576.1714391,18.4155415,0.948418003
56,14,d,baixo,194.9898008,145.6283631,46.4845815,558.0147761,18.40592912,0.126389727
57,15,a,controle,130.460802,59.63828204,90.79019824,559.2252203,29.78392454,0.499409499
58,15,b,controle,203.4066268,56.86440846,62.46365639,611.2743209,19.29451974,0.339307491
59,15,c,controle,209.0178441,160.8846678,55.44254772,550.7521109,24.06725825,0.149593237
60,15,d,controle,173.947736,77.66846033,34.37922173,599.1698789,19.64501749,0.252934298